operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery5|1650574381114|1650574381114|120|0|1290688157299
LdbcQuery13|1650574381114|1650574381235|13|1|1290688157299
LdbcQuery10|1650574381127|1650574381249|18663|0|1290688170730
LdbcQuery11|1650574381145|1650574399912|10|0|1290688188638
LdbcQuery3|1650574381168|1650574399923|218|0|1290688211023
LdbcQuery4|1650574381181|1650574400141|15|0|1290688224454
LdbcQuery2|1650574381190|1650574400156|16810|0|1290688233408
LdbcQuery13|1650574381199|1650574416967|9|1|1290688242362
LdbcQuery1|1650574381208|1650574416977|10|0|1290688251316
LdbcQuery11|1650574381217|1650574416987|9|0|1290688260270
LdbcQuery7|1650574381248|1650574416996|143|0|1290688291609
LdbcQuery12|1650574381253|1650574417140|154|0|1290688296086
LdbcQuery10|1650574381262|1650574417295|18790|0|1290688305040
LdbcQuery8|1650574381262|1650574436085|13|20|1290688305040
LdbcShortQuery4MessageContent|1650574436098|1650574436098|551|1|-1
LdbcShortQuery5MessageCreator|1650574436649|1650574436650|1377|1|-1
LdbcShortQuery6MessageForum|1650574438027|1650574438027|513|1|-1
LdbcShortQuery7MessageReplies|1650574438540|1650574438541|467|0|-1
LdbcQuery13|1650574381284|1650574439009|11|1|1290688327425
LdbcShortQuery1PersonProfile|1650574439020|1650574439021|12|1|-1
LdbcShortQuery2PersonPosts|1650574439033|1650574439034|13|10|-1
LdbcShortQuery3PersonFriends|1650574439047|1650574439048|20|497|-1
LdbcShortQuery4MessageContent|1650574439068|1650574439069|520|1|-1
LdbcShortQuery5MessageCreator|1650574439589|1650574439589|1221|1|-1
LdbcShortQuery6MessageForum|1650574440810|1650574440811|482|1|-1
LdbcShortQuery7MessageReplies|1650574441293|1650574441293|487|1|-1
LdbcShortQuery1PersonProfile|1650574441780|1650574441781|11|1|-1
LdbcShortQuery2PersonPosts|1650574441792|1650574441793|10|10|-1
LdbcShortQuery3PersonFriends|1650574441803|1650574441803|11|13|-1
LdbcShortQuery4MessageContent|1650574441814|1650574441815|504|1|-1
LdbcShortQuery5MessageCreator|1650574442319|1650574442319|1282|1|-1
LdbcShortQuery6MessageForum|1650574443601|1650574443602|436|1|-1
LdbcShortQuery7MessageReplies|1650574444038|1650574444038|483|0|-1
LdbcQuery11|1650574381289|1650574444522|9|0|1290688331902
LdbcShortQuery4MessageContent|1650574444531|1650574444531|450|1|-1
LdbcShortQuery5MessageCreator|1650574444981|1650574444982|1129|1|-1
LdbcShortQuery6MessageForum|1650574446111|1650574446111|430|1|-1
LdbcShortQuery7MessageReplies|1650574446541|1650574446542|438|0|-1
LdbcShortQuery1PersonProfile|1650574446980|1650574446981|9|1|-1
LdbcShortQuery2PersonPosts|1650574446990|1650574446990|7|10|-1
LdbcShortQuery3PersonFriends|1650574446997|1650574446997|8|99|-1
LdbcQuery14|1650574381298|1650574447006|12|0|1290688340856
LdbcShortQuery1PersonProfile|1650574447018|1650574447018|5|1|-1
LdbcShortQuery2PersonPosts|1650574447023|1650574447024|7|10|-1
LdbcShortQuery3PersonFriends|1650574447031|1650574447032|8|187|-1
LdbcShortQuery4MessageContent|1650574447040|1650574447040|476|1|-1
LdbcShortQuery5MessageCreator|1650574447516|1650574447517|1217|1|-1
LdbcShortQuery6MessageForum|1650574448734|1650574448734|442|1|-1
LdbcShortQuery7MessageReplies|1650574449176|1650574449177|528|3|-1
LdbcShortQuery1PersonProfile|1650574449705|1650574449705|7|1|-1
LdbcShortQuery2PersonPosts|1650574449712|1650574449713|8|10|-1
LdbcShortQuery3PersonFriends|1650574449721|1650574449722|6|44|-1
LdbcQuery1|1650574381324|1650574449728|11|0|1290688367718
LdbcShortQuery4MessageContent|1650574449739|1650574449739|478|1|-1
LdbcShortQuery5MessageCreator|1650574450217|1650574450218|1479|1|-1
LdbcShortQuery6MessageForum|1650574451697|1650574451698|569|1|-1
LdbcShortQuery7MessageReplies|1650574452267|1650574452267|520|6|-1
LdbcShortQuery1PersonProfile|1650574452787|1650574452788|6|1|-1
LdbcShortQuery2PersonPosts|1650574452794|1650574452794|7|10|-1
LdbcShortQuery3PersonFriends|1650574452801|1650574452802|7|119|-1
LdbcQuery4|1650574381342|1650574452809|9|0|1290688385626
LdbcShortQuery1PersonProfile|1650574452818|1650574452819|16|1|-1
LdbcShortQuery2PersonPosts|1650574452835|1650574452835|25|10|-1
LdbcShortQuery3PersonFriends|1650574452860|1650574452860|19|116|-1
LdbcQuery2|1650574381356|1650574452880|13688|0|1290688399057
LdbcShortQuery4MessageContent|1650574466568|1650574466569|481|1|-1
LdbcShortQuery5MessageCreator|1650574467050|1650574467050|1296|1|-1
LdbcShortQuery6MessageForum|1650574468346|1650574468347|555|1|-1
LdbcShortQuery7MessageReplies|1650574468902|1650574468902|596|7|-1
LdbcShortQuery1PersonProfile|1650574469498|1650574469498|9|1|-1
LdbcShortQuery2PersonPosts|1650574469507|1650574469508|10|10|-1
LdbcShortQuery3PersonFriends|1650574469518|1650574469518|9|9|-1
LdbcShortQuery4MessageContent|1650574469527|1650574469528|434|1|-1
LdbcShortQuery5MessageCreator|1650574469962|1650574469963|1346|1|-1
LdbcShortQuery6MessageForum|1650574471309|1650574471309|444|1|-1
LdbcShortQuery7MessageReplies|1650574471753|1650574471753|433|11|-1
LdbcQuery11|1650574381360|1650574472187|8|0|1290688403534
LdbcShortQuery1PersonProfile|1650574472195|1650574472196|9|1|-1
LdbcShortQuery2PersonPosts|1650574472205|1650574472205|10|10|-1
LdbcShortQuery3PersonFriends|1650574472215|1650574472216|9|16|-1
LdbcShortQuery4MessageContent|1650574472225|1650574472226|425|1|-1
LdbcShortQuery5MessageCreator|1650574472651|1650574472651|1109|1|-1
LdbcShortQuery6MessageForum|1650574473760|1650574473761|445|1|-1
LdbcShortQuery7MessageReplies|1650574474206|1650574474207|505|5|-1
LdbcQuery13|1650574381369|1650574474713|9|1|1290688412488
LdbcShortQuery4MessageContent|1650574474722|1650574474723|434|1|-1
LdbcShortQuery5MessageCreator|1650574475157|1650574475157|1123|1|-1
LdbcShortQuery6MessageForum|1650574476280|1650574476281|439|1|-1
LdbcShortQuery7MessageReplies|1650574476720|1650574476721|446|11|-1
LdbcShortQuery1PersonProfile|1650574477167|1650574477168|9|1|-1
LdbcShortQuery2PersonPosts|1650574477177|1650574477177|9|10|-1
LdbcShortQuery3PersonFriends|1650574477186|1650574477187|9|24|-1
LdbcShortQuery4MessageContent|1650574477196|1650574477196|475|1|-1
LdbcShortQuery5MessageCreator|1650574477671|1650574477672|1183|1|-1
LdbcShortQuery6MessageForum|1650574478855|1650574478855|465|1|-1
LdbcShortQuery7MessageReplies|1650574479320|1650574479321|506|0|-1
LdbcQuery5|1650574381369|1650574479827|9|0|1290688412488
LdbcShortQuery1PersonProfile|1650574479836|1650574479837|8|1|-1
LdbcShortQuery2PersonPosts|1650574479845|1650574479846|10|10|-1
LdbcShortQuery3PersonFriends|1650574479856|1650574479857|9|6|-1
LdbcQuery10|1650574381396|1650574479866|18290|0|1290688439350
LdbcShortQuery4MessageContent|1650574498156|1650574498157|436|1|-1
LdbcShortQuery5MessageCreator|1650574498593|1650574498593|1381|1|-1
LdbcShortQuery6MessageForum|1650574499974|1650574499974|444|1|-1
LdbcShortQuery7MessageReplies|1650574500418|1650574500419|470|0|-1
LdbcShortQuery1PersonProfile|1650574500889|1650574500890|11|1|-1
LdbcShortQuery2PersonPosts|1650574500901|1650574500901|10|10|-1
LdbcShortQuery3PersonFriends|1650574500911|1650574500912|9|16|-1
LdbcShortQuery4MessageContent|1650574500921|1650574500922|438|1|-1
LdbcShortQuery5MessageCreator|1650574501360|1650574501361|1221|1|-1
LdbcShortQuery6MessageForum|1650574502582|1650574502582|446|1|-1
LdbcShortQuery7MessageReplies|1650574503028|1650574503029|467|9|-1
LdbcQuery11|1650574381432|1650574503497|5|0|1290688475166
LdbcShortQuery1PersonProfile|1650574503502|1650574503503|9|1|-1
LdbcShortQuery2PersonPosts|1650574503512|1650574503512|6|10|-1
LdbcShortQuery3PersonFriends|1650574503518|1650574503519|10|71|-1
LdbcShortQuery4MessageContent|1650574503529|1650574503530|424|1|-1
LdbcShortQuery5MessageCreator|1650574503954|1650574503954|1142|1|-1
LdbcShortQuery6MessageForum|1650574505096|1650574505097|444|1|-1
LdbcShortQuery7MessageReplies|1650574505541|1650574505542|427|0|-1
LdbcShortQuery1PersonProfile|1650574505969|1650574505969|5|1|-1
LdbcShortQuery2PersonPosts|1650574505974|1650574505974|6|10|-1
LdbcShortQuery3PersonFriends|1650574505980|1650574505981|5|4|-1
LdbcQuery6|1650574381436|1650574505987|116|0|1290688479643
LdbcShortQuery4MessageContent|1650574506103|1650574506104|437|1|-1
LdbcShortQuery5MessageCreator|1650574506541|1650574506541|1215|1|-1
LdbcShortQuery6MessageForum|1650574507756|1650574507757|438|1|-1
LdbcShortQuery7MessageReplies|1650574508195|1650574508196|446|0|-1
LdbcShortQuery1PersonProfile|1650574508642|1650574508642|5|1|-1
LdbcShortQuery2PersonPosts|1650574508647|1650574508648|5|10|-1
LdbcShortQuery3PersonFriends|1650574508653|1650574508653|6|128|-1
LdbcShortQuery4MessageContent|1650574508659|1650574508659|457|1|-1
LdbcShortQuery5MessageCreator|1650574509116|1650574509117|1117|1|-1
LdbcShortQuery6MessageForum|1650574510234|1650574510234|446|1|-1
LdbcShortQuery7MessageReplies|1650574510680|1650574510681|453|0|-1
