operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery5|1650577798604|1650577798604|77|0|1290688157299
LdbcQuery13|1650577798604|1650577798682|4|1|1290688157299
LdbcQuery10|1650577798617|1650577798686|4|0|1290688170730
LdbcQuery11|1650577798635|1650577798691|4|0|1290688188638
LdbcQuery3|1650577798658|1650577798695|127|0|1290688211023
LdbcQuery4|1650577798671|1650577798822|4|0|1290688224454
LdbcQuery2|1650577798680|1650577798827|4|0|1290688233408
LdbcQuery13|1650577798689|1650577798831|4|1|1290688242362
LdbcQuery1|1650577798698|1650577798835|4|0|1290688251316
LdbcQuery11|1650577798707|1650577798840|3|0|1290688260270
LdbcQuery7|1650577798738|1650577798844|95|0|1290688291609
LdbcQuery12|1650577798743|1650577798940|111|0|1290688296086
LdbcQuery10|1650577798752|1650577799052|4|0|1290688305040
LdbcQuery8|1650577798752|1650577799056|17|20|1290688305040
LdbcShortQuery4MessageContent|1650577799073|1650577799073|4|1|-1
LdbcShortQuery5MessageCreator|1650577799077|1650577799077|3|1|-1
LdbcShortQuery6MessageForum|1650577799080|1650577799081|3|1|-1
LdbcShortQuery7MessageReplies|1650577799084|1650577799085|3|0|-1
LdbcQuery13|1650577798774|1650577799089|3|1|1290688327425
LdbcShortQuery1PersonProfile|1650577799092|1650577799092|3|1|-1
LdbcShortQuery2PersonPosts|1650577799095|1650577799095|8|10|-1
LdbcShortQuery3PersonFriends|1650577799103|1650577799104|12|497|-1
LdbcShortQuery4MessageContent|1650577799116|1650577799117|3|1|-1
LdbcShortQuery5MessageCreator|1650577799120|1650577799121|4|1|-1
LdbcShortQuery6MessageForum|1650577799125|1650577799125|4|1|-1
LdbcShortQuery7MessageReplies|1650577799129|1650577799130|12|1|-1
LdbcShortQuery1PersonProfile|1650577799142|1650577799143|4|1|-1
LdbcShortQuery2PersonPosts|1650577799147|1650577799147|5|10|-1
LdbcShortQuery3PersonFriends|1650577799152|1650577799153|4|13|-1
LdbcShortQuery4MessageContent|1650577799157|1650577799158|4|1|-1
LdbcShortQuery5MessageCreator|1650577799162|1650577799162|4|1|-1
LdbcShortQuery6MessageForum|1650577799166|1650577799166|4|1|-1
LdbcShortQuery7MessageReplies|1650577799170|1650577799171|4|0|-1
LdbcQuery11|1650577798779|1650577799175|4|0|1290688331902
LdbcShortQuery4MessageContent|1650577799179|1650577799180|3|1|-1
