operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery5|1650578066598|1650578066598|75|0|1290688157299
LdbcQuery13|1650578066598|1650578066673|4|1|1290688157299
LdbcQuery10|1650578066611|1650578066678|4|0|1290688170730
LdbcQuery11|1650578066629|1650578066683|4|0|1290688188638
LdbcQuery3|1650578066652|1650578066687|130|0|1290688211023
LdbcQuery4|1650578066665|1650578066818|4|0|1290688224454
LdbcQuery2|1650578066674|1650578066822|4|0|1290688233408
LdbcQuery13|1650578066683|1650578066827|4|1|1290688242362
LdbcQuery1|1650578066692|1650578066831|4|0|1290688251316
LdbcQuery11|1650578066701|1650578066836|3|0|1290688260270
LdbcQuery7|1650578066732|1650578066840|97|0|1290688291609
LdbcQuery12|1650578066737|1650578066937|108|0|1290688296086
LdbcQuery10|1650578066746|1650578067046|4|0|1290688305040
LdbcQuery8|1650578066746|1650578067050|17|20|1290688305040
LdbcShortQuery4MessageContent|1650578067067|1650578067068|4|1|-1
LdbcShortQuery5MessageCreator|1650578067072|1650578067072|4|1|-1
LdbcShortQuery6MessageForum|1650578067076|1650578067077|4|1|-1
LdbcShortQuery7MessageReplies|1650578067081|1650578067081|4|0|-1
LdbcQuery13|1650578066768|1650578067086|4|1|1290688327425
LdbcShortQuery1PersonProfile|1650578067090|1650578067090|3|1|-1
LdbcShortQuery2PersonPosts|1650578067093|1650578067093|8|10|-1
LdbcShortQuery3PersonFriends|1650578067101|1650578067102|11|497|-1
LdbcShortQuery4MessageContent|1650578067113|1650578067113|4|1|-1
LdbcShortQuery5MessageCreator|1650578067117|1650578067118|4|1|-1
LdbcShortQuery6MessageForum|1650578067122|1650578067122|4|1|-1
LdbcShortQuery7MessageReplies|1650578067126|1650578067127|13|1|-1
LdbcShortQuery1PersonProfile|1650578067140|1650578067140|4|1|-1
LdbcShortQuery2PersonPosts|1650578067144|1650578067145|5|10|-1
LdbcShortQuery3PersonFriends|1650578067150|1650578067151|4|13|-1
LdbcShortQuery4MessageContent|1650578067155|1650578067156|3|1|-1
LdbcShortQuery5MessageCreator|1650578067159|1650578067160|4|1|-1
LdbcShortQuery6MessageForum|1650578067164|1650578067164|4|1|-1
LdbcShortQuery7MessageReplies|1650578067168|1650578067169|4|0|-1
LdbcQuery11|1650578066773|1650578067173|4|0|1290688331902
