operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery5|1650578360929|1650578360929|73|0|1290688157299
LdbcQuery13|1650578360929|1650578361002|3|1|1290688157299
LdbcQuery10|1650578360942|1650578361006|3|0|1290688170730
LdbcQuery11|1650578360960|1650578361010|3|0|1290688188638
LdbcQuery3|1650578360983|1650578361014|124|0|1290688211023
LdbcQuery4|1650578360996|1650578361138|4|0|1290688224454
LdbcQuery2|1650578361005|1650578361143|4|0|1290688233408
LdbcQuery13|1650578361014|1650578361148|3|1|1290688242362
LdbcQuery1|1650578361023|1650578361152|4|0|1290688251316
LdbcQuery11|1650578361032|1650578361156|4|0|1290688260270
LdbcQuery7|1650578361063|1650578361160|95|0|1290688291609
LdbcQuery12|1650578361068|1650578361256|102|0|1290688296086
LdbcQuery10|1650578361077|1650578361358|4|0|1290688305040
LdbcQuery8|1650578361077|1650578361363|17|20|1290688305040
LdbcShortQuery4MessageContent|1650578361380|1650578361380|3|1|-1
LdbcShortQuery5MessageCreator|1650578361383|1650578361384|4|1|-1
LdbcShortQuery6MessageForum|1650578361388|1650578361388|4|1|-1
LdbcShortQuery7MessageReplies|1650578361392|1650578361392|4|0|-1
LdbcQuery13|1650578361099|1650578361397|3|1|1290688327425
LdbcShortQuery1PersonProfile|1650578361400|1650578361401|3|1|-1
LdbcShortQuery2PersonPosts|1650578361404|1650578361405|8|10|-1
LdbcShortQuery3PersonFriends|1650578361413|1650578361414|11|497|-1
LdbcShortQuery4MessageContent|1650578361425|1650578361426|4|1|-1
LdbcShortQuery5MessageCreator|1650578361430|1650578361430|4|1|-1
LdbcShortQuery6MessageForum|1650578361434|1650578361434|4|1|-1
LdbcShortQuery7MessageReplies|1650578361438|1650578361439|11|1|-1
LdbcShortQuery1PersonProfile|1650578361450|1650578361451|4|1|-1
LdbcShortQuery2PersonPosts|1650578361455|1650578361455|5|10|-1
LdbcShortQuery3PersonFriends|1650578361460|1650578361460|4|13|-1
LdbcShortQuery4MessageContent|1650578361464|1650578361465|3|1|-1
LdbcShortQuery5MessageCreator|1650578361468|1650578361469|3|1|-1
LdbcShortQuery6MessageForum|1650578361472|1650578361472|3|1|-1
LdbcShortQuery7MessageReplies|1650578361475|1650578361476|4|0|-1
LdbcQuery11|1650578361104|1650578361481|3|0|1290688331902
LdbcShortQuery4MessageContent|1650578361484|1650578361485|3|1|-1
LdbcShortQuery5MessageCreator|1650578361488|1650578361489|3|1|-1
LdbcShortQuery6MessageForum|1650578361492|1650578361492|3|1|-1
LdbcShortQuery7MessageReplies|1650578361495|1650578361495|3|0|-1
LdbcShortQuery1PersonProfile|1650578361498|1650578361499|3|1|-1
LdbcShortQuery2PersonPosts|1650578361502|1650578361503|7|10|-1
LdbcShortQuery3PersonFriends|1650578361510|1650578361510|5|99|-1
LdbcQuery14|1650578361113|1650578361516|3|0|1290688340856
LdbcShortQuery1PersonProfile|1650578361519|1650578361519|3|1|-1
LdbcShortQuery2PersonPosts|1650578361522|1650578361523|9|10|-1
LdbcShortQuery3PersonFriends|1650578361532|1650578361533|6|187|-1
LdbcShortQuery4MessageContent|1650578361539|1650578361539|3|1|-1
LdbcShortQuery5MessageCreator|1650578361542|1650578361542|3|1|-1
LdbcShortQuery6MessageForum|1650578361545|1650578361546|3|1|-1
LdbcShortQuery7MessageReplies|1650578361549|1650578361549|5|3|-1
LdbcShortQuery1PersonProfile|1650578361554|1650578361555|3|1|-1
LdbcShortQuery2PersonPosts|1650578361558|1650578361558|11|10|-1
LdbcShortQuery3PersonFriends|1650578361569|1650578361569|4|44|-1
LdbcQuery1|1650578361139|1650578361574|4|0|1290688367718
LdbcShortQuery4MessageContent|1650578361578|1650578361578|10|1|-1
LdbcShortQuery5MessageCreator|1650578361588|1650578361589|10|1|-1
LdbcShortQuery6MessageForum|1650578361599|1650578361599|13|1|-1
