operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery5|1652039561114|1652039561114|79|0|1290688157299
LdbcQuery13|1652039561114|1652039561194|4|1|1290688157299
LdbcQuery10|1652039561127|1652039561198|4|0|1290688170730
LdbcQuery11|1652039561145|1652039561203|4|0|1290688188638
LdbcQuery3|1652039561168|1652039561207|131|0|1290688211023
LdbcQuery4|1652039561181|1652039561338|4|0|1290688224454
LdbcQuery2|1652039561190|1652039561342|3|0|1290688233408
LdbcQuery13|1652039561199|1652039561346|3|1|1290688242362
LdbcQuery1|1652039561208|1652039561350|4|0|1290688251316
LdbcQuery11|1652039561217|1652039561354|3|0|1290688260270
LdbcQuery7|1652039561248|1652039561358|97|0|1290688291609
LdbcQuery12|1652039561253|1652039561456|127|0|1290688296086
LdbcQuery10|1652039561262|1652039561583|4|0|1290688305040
LdbcQuery8|1652039561262|1652039561588|18|20|1290688305040
LdbcShortQuery4MessageContent|1652039561606|1652039561606|4|1|-1
LdbcShortQuery5MessageCreator|1652039561610|1652039561611|3|1|-1
LdbcShortQuery6MessageForum|1652039561614|1652039561614|4|1|-1
LdbcShortQuery7MessageReplies|1652039561618|1652039561619|3|0|-1
LdbcQuery13|1652039561284|1652039561623|3|1|1290688327425
LdbcShortQuery1PersonProfile|1652039561626|1652039561627|3|1|-1
LdbcShortQuery2PersonPosts|1652039561630|1652039561630|9|10|-1
LdbcShortQuery3PersonFriends|1652039561639|1652039561640|12|497|-1
LdbcShortQuery4MessageContent|1652039561652|1652039561652|4|1|-1
LdbcShortQuery5MessageCreator|1652039561656|1652039561657|4|1|-1
LdbcShortQuery6MessageForum|1652039561661|1652039561661|4|1|-1
LdbcShortQuery7MessageReplies|1652039561665|1652039561666|12|1|-1
LdbcShortQuery1PersonProfile|1652039561678|1652039561678|4|1|-1
LdbcShortQuery2PersonPosts|1652039561682|1652039561683|5|10|-1
LdbcShortQuery3PersonFriends|1652039561688|1652039561688|4|13|-1
LdbcShortQuery4MessageContent|1652039561692|1652039561693|4|1|-1
LdbcShortQuery5MessageCreator|1652039561697|1652039561698|4|1|-1
LdbcShortQuery6MessageForum|1652039561702|1652039561702|4|1|-1
LdbcShortQuery7MessageReplies|1652039561706|1652039561706|4|0|-1
LdbcQuery11|1652039561289|1652039561711|4|0|1290688331902
LdbcShortQuery4MessageContent|1652039561715|1652039561716|3|1|-1
LdbcShortQuery5MessageCreator|1652039561719|1652039561720|3|1|-1
LdbcShortQuery6MessageForum|1652039561723|1652039561724|4|1|-1
LdbcShortQuery7MessageReplies|1652039561728|1652039561728|4|0|-1
LdbcShortQuery1PersonProfile|1652039561732|1652039561733|3|1|-1
LdbcShortQuery2PersonPosts|1652039561736|1652039561736|7|10|-1
LdbcShortQuery3PersonFriends|1652039561743|1652039561744|5|99|-1
LdbcQuery14|1652039561298|1652039561750|4|0|1290688340856
LdbcShortQuery1PersonProfile|1652039561754|1652039561755|3|1|-1
LdbcShortQuery2PersonPosts|1652039561758|1652039561759|12|10|-1
LdbcShortQuery3PersonFriends|1652039561771|1652039561771|8|187|-1
LdbcShortQuery4MessageContent|1652039561779|1652039561779|4|1|-1
LdbcShortQuery5MessageCreator|1652039561783|1652039561783|4|1|-1
LdbcShortQuery6MessageForum|1652039561787|1652039561787|4|1|-1
LdbcShortQuery7MessageReplies|1652039561791|1652039561792|7|3|-1
LdbcShortQuery1PersonProfile|1652039561799|1652039561799|3|1|-1
LdbcShortQuery2PersonPosts|1652039561802|1652039561803|12|10|-1
