operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery5|1652470716394|1652470716394|81|0|1290688157299
LdbcQuery13|1652470716394|1652470716476|9|1|1290688157299
LdbcQuery10|1652470716407|1652470716485|14725|0|1290688170730
LdbcQuery11|1652470716425|1652470731211|9|0|1290688188638
LdbcQuery3|1652470716448|1652470731221|163|0|1290688211023
LdbcQuery4|1652470716461|1652470731384|10|0|1290688224454
LdbcQuery2|1652470716470|1652470731395|12338|0|1290688233408
LdbcQuery13|1652470716479|1652470743733|8|1|1290688242362
LdbcQuery1|1652470716488|1652470743742|9|0|1290688251316
LdbcQuery11|1652470716497|1652470743752|8|0|1290688260270
LdbcQuery7|1652470716528|1652470743760|104|0|1290688291609
LdbcQuery12|1652470716533|1652470743864|210|0|1290688296086
LdbcQuery10|1652470716542|1652470744075|15764|0|1290688305040
LdbcQuery8|1652470716542|1652470759840|13|20|1290688305040
LdbcShortQuery4MessageContent|1652470759853|1652470759853|3|1|-1
LdbcShortQuery5MessageCreator|1652470759856|1652470759857|3|1|-1
LdbcShortQuery6MessageForum|1652470759860|1652470759861|3|1|-1
LdbcShortQuery7MessageReplies|1652470759864|1652470759865|3|0|-1
LdbcQuery13|1652470716564|1652470759869|9|1|1290688327425
LdbcShortQuery1PersonProfile|1652470759878|1652470759878|8|1|-1
LdbcShortQuery2PersonPosts|1652470759886|1652470759887|12|10|-1
LdbcShortQuery3PersonFriends|1652470759899|1652470759900|16|497|-1
LdbcShortQuery4MessageContent|1652470759916|1652470759917|3|1|-1
LdbcShortQuery5MessageCreator|1652470759920|1652470759921|3|1|-1
LdbcShortQuery6MessageForum|1652470759924|1652470759925|3|1|-1
LdbcShortQuery7MessageReplies|1652470759928|1652470759928|9|1|-1
LdbcShortQuery1PersonProfile|1652470759937|1652470759938|8|1|-1
LdbcShortQuery2PersonPosts|1652470759946|1652470759947|9|10|-1
LdbcShortQuery3PersonFriends|1652470759956|1652470759956|9|13|-1
LdbcShortQuery4MessageContent|1652470759965|1652470759966|3|1|-1
LdbcShortQuery5MessageCreator|1652470759969|1652470759970|3|1|-1
LdbcShortQuery6MessageForum|1652470759973|1652470759973|3|1|-1
LdbcShortQuery7MessageReplies|1652470759976|1652470759976|3|0|-1
LdbcQuery11|1652470716569|1652470759980|8|0|1290688331902
LdbcShortQuery4MessageContent|1652470759988|1652470759988|3|1|-1
LdbcShortQuery5MessageCreator|1652470759991|1652470759992|3|1|-1
LdbcShortQuery6MessageForum|1652470759995|1652470759996|3|1|-1
LdbcShortQuery7MessageReplies|1652470759999|1652470760000|3|0|-1
LdbcShortQuery1PersonProfile|1652470760003|1652470760004|11|1|-1
LdbcShortQuery2PersonPosts|1652470760015|1652470760016|10|10|-1
LdbcShortQuery3PersonFriends|1652470760026|1652470760026|9|99|-1
LdbcQuery14|1652470716578|1652470760035|13|0|1290688340856
LdbcShortQuery1PersonProfile|1652470760048|1652470760049|5|1|-1
LdbcShortQuery2PersonPosts|1652470760054|1652470760055|9|10|-1
LdbcShortQuery3PersonFriends|1652470760064|1652470760064|10|187|-1
LdbcShortQuery4MessageContent|1652470760074|1652470760075|3|1|-1
LdbcShortQuery5MessageCreator|1652470760078|1652470760079|2|1|-1
LdbcShortQuery6MessageForum|1652470760081|1652470760081|3|1|-1
LdbcShortQuery7MessageReplies|1652470760084|1652470760085|5|3|-1
LdbcShortQuery1PersonProfile|1652470760090|1652470760090|5|1|-1
LdbcShortQuery2PersonPosts|1652470760095|1652470760096|10|10|-1
LdbcShortQuery3PersonFriends|1652470760106|1652470760106|6|44|-1
LdbcQuery1|1652470716604|1652470760112|9|0|1290688367718
