operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery5|1649050681446|1649050681446|72|0|1290688157299
LdbcQuery13|1649050681446|1649050681518|6|1|1290688157299
LdbcQuery10|1649050681459|1649050681525|40961|0|1290688170730
LdbcQuery11|1649050681477|1649050722487|5|0|1290688188638
LdbcQuery3|1649050681500|1649050722493|98|0|1290688211023
LdbcQuery4|1649050681513|1649050722591|6|0|1290688224454
LdbcQuery2|1649050681522|1649050722598|62067|0|1290688233408
LdbcQuery13|1649050681531|1649050784666|6|1|1290688242362
LdbcQuery1|1649050681540|1649050784672|6|0|1290688251316
LdbcQuery11|1649050681549|1649050784678|5|0|1290688260270
LdbcQuery7|1649050681580|1649050784684|84|0|1290688291609
LdbcQuery12|1649050681585|1649050784769|259|0|1290688296086
LdbcQuery10|1649050681594|1649050785029|45365|0|1290688305040
LdbcQuery8|1649050681594|1649050830394|11|20|1290688305040
LdbcShortQuery4MessageContent|1649050830405|1649050830406|796|1|-1
LdbcShortQuery5MessageCreator|1649050831202|1649050831203|2968|1|-1
LdbcShortQuery6MessageForum|1649050834171|1649050834171|742|1|-1
LdbcShortQuery7MessageReplies|1649050834913|1649050834914|751|0|-1
LdbcQuery13|1649050681616|1649050835665|6|1|1290688327425
LdbcShortQuery1PersonProfile|1649050835671|1649050835671|5|1|-1
LdbcShortQuery2PersonPosts|1649050835676|1649050835677|7|10|-1
LdbcShortQuery3PersonFriends|1649050835684|1649050835685|11|497|-1
LdbcShortQuery4MessageContent|1649050835696|1649050835697|741|1|-1
LdbcShortQuery5MessageCreator|1649050836438|1649050836438|2935|1|-1
LdbcShortQuery6MessageForum|1649050839373|1649050839374|744|1|-1
LdbcShortQuery7MessageReplies|1649050840118|1649050840118|765|1|-1
LdbcShortQuery1PersonProfile|1649050840883|1649050840884|6|1|-1
LdbcShortQuery2PersonPosts|1649050840890|1649050840890|6|10|-1
LdbcShortQuery3PersonFriends|1649050840896|1649050840897|6|13|-1
LdbcShortQuery4MessageContent|1649050840903|1649050840903|734|1|-1
LdbcShortQuery5MessageCreator|1649050841637|1649050841638|2890|1|-1
LdbcShortQuery6MessageForum|1649050844528|1649050844529|759|1|-1
LdbcShortQuery7MessageReplies|1649050845288|1649050845288|747|0|-1
LdbcQuery11|1649050681621|1649050846035|6|0|1290688331902
LdbcShortQuery4MessageContent|1649050846041|1649050846042|734|1|-1
LdbcShortQuery5MessageCreator|1649050846776|1649050846776|2903|1|-1
LdbcShortQuery6MessageForum|1649050849679|1649050849680|749|1|-1
LdbcShortQuery7MessageReplies|1649050850429|1649050850429|745|0|-1
LdbcShortQuery1PersonProfile|1649050851174|1649050851175|6|1|-1
LdbcShortQuery2PersonPosts|1649050851181|1649050851183|7|10|-1
LdbcShortQuery3PersonFriends|1649050851190|1649050851190|6|99|-1
LdbcQuery14|1649050681630|1649050851197|5|0|1290688340856
LdbcShortQuery1PersonProfile|1649050851202|1649050851203|5|1|-1
LdbcShortQuery2PersonPosts|1649050851208|1649050851209|8|10|-1
LdbcShortQuery3PersonFriends|1649050851217|1649050851217|7|187|-1
LdbcShortQuery4MessageContent|1649050851224|1649050851225|730|1|-1
LdbcShortQuery5MessageCreator|1649050851955|1649050851955|2909|1|-1
LdbcShortQuery6MessageForum|1649050854864|1649050854865|749|1|-1
LdbcShortQuery7MessageReplies|1649050855614|1649050855614|745|3|-1
LdbcShortQuery1PersonProfile|1649050856359|1649050856360|5|1|-1
LdbcShortQuery2PersonPosts|1649050856365|1649050856366|10|10|-1
LdbcShortQuery3PersonFriends|1649050856376|1649050856377|6|44|-1
LdbcQuery1|1649050681656|1649050856384|6|0|1290688367718
LdbcShortQuery4MessageContent|1649050856390|1649050856390|758|1|-1
LdbcShortQuery5MessageCreator|1649050857148|1649050857148|2899|1|-1
LdbcShortQuery6MessageForum|1649050860047|1649050860048|746|1|-1
LdbcShortQuery7MessageReplies|1649050860794|1649050860795|766|6|-1
LdbcShortQuery1PersonProfile|1649050861561|1649050861562|6|1|-1
LdbcShortQuery2PersonPosts|1649050861568|1649050861568|7|10|-1
LdbcShortQuery3PersonFriends|1649050861575|1649050861576|7|119|-1
LdbcQuery4|1649050681674|1649050861583|5|0|1290688385626
LdbcShortQuery1PersonProfile|1649050861588|1649050861589|6|1|-1
LdbcShortQuery2PersonPosts|1649050861595|1649050861596|8|10|-1
LdbcShortQuery3PersonFriends|1649050861604|1649050861605|9|116|-1
LdbcQuery2|1649050681688|1649050861614|53946|0|1290688399057
LdbcShortQuery4MessageContent|1649050915560|1649050915561|773|1|-1
LdbcShortQuery5MessageCreator|1649050916334|1649050916334|2969|1|-1
LdbcShortQuery6MessageForum|1649050919303|1649050919303|737|1|-1
LdbcShortQuery7MessageReplies|1649050920040|1649050920041|760|7|-1
LdbcShortQuery1PersonProfile|1649050920801|1649050920802|6|1|-1
LdbcShortQuery2PersonPosts|1649050920808|1649050920808|6|10|-1
LdbcShortQuery3PersonFriends|1649050920814|1649050920814|6|9|-1
LdbcShortQuery4MessageContent|1649050920820|1649050920821|750|1|-1
LdbcShortQuery5MessageCreator|1649050921571|1649050921571|2899|1|-1
LdbcShortQuery6MessageForum|1649050924470|1649050924471|772|1|-1
LdbcShortQuery7MessageReplies|1649050925243|1649050925243|769|11|-1
LdbcQuery11|1649050681692|1649050926013|6|0|1290688403534
LdbcShortQuery1PersonProfile|1649050926019|1649050926020|6|1|-1
LdbcShortQuery2PersonPosts|1649050926026|1649050926026|7|10|-1
LdbcShortQuery3PersonFriends|1649050926033|1649050926034|6|16|-1
LdbcShortQuery4MessageContent|1649050926040|1649050926040|735|1|-1
LdbcShortQuery5MessageCreator|1649050926775|1649050926775|2906|1|-1
LdbcShortQuery6MessageForum|1649050929681|1649050929682|740|1|-1
LdbcShortQuery7MessageReplies|1649050930422|1649050930423|739|5|-1
LdbcQuery13|1649050681701|1649050931163|5|1|1290688412488
LdbcShortQuery4MessageContent|1649050931168|1649050931169|730|1|-1
LdbcShortQuery5MessageCreator|1649050931899|1649050931900|2905|1|-1
LdbcShortQuery6MessageForum|1649050934805|1649050934805|738|1|-1
LdbcShortQuery7MessageReplies|1649050935543|1649050935543|747|11|-1
LdbcShortQuery1PersonProfile|1649050936290|1649050936291|5|1|-1
LdbcShortQuery2PersonPosts|1649050936296|1649050936296|6|10|-1
LdbcShortQuery3PersonFriends|1649050936302|1649050936303|5|24|-1
LdbcShortQuery4MessageContent|1649050936308|1649050936308|744|1|-1
LdbcShortQuery5MessageCreator|1649050937052|1649050937053|2890|1|-1
LdbcShortQuery6MessageForum|1649050939943|1649050939943|746|1|-1
LdbcShortQuery7MessageReplies|1649050940689|1649050940690|755|0|-1
LdbcQuery5|1649050681701|1649050941445|5|0|1290688412488
LdbcShortQuery1PersonProfile|1649050941450|1649050941451|7|1|-1
LdbcShortQuery2PersonPosts|1649050941458|1649050941459|9|10|-1
LdbcShortQuery3PersonFriends|1649050941468|1649050941468|7|6|-1
LdbcQuery10|1649050681728|1649050941475|45845|0|1290688439350
LdbcShortQuery4MessageContent|1649050987320|1649050987321|740|1|-1
LdbcShortQuery5MessageCreator|1649050988061|1649050988061|2896|1|-1
LdbcShortQuery6MessageForum|1649050990957|1649050990958|737|1|-1
LdbcShortQuery7MessageReplies|1649050991695|1649050991695|747|0|-1
LdbcShortQuery1PersonProfile|1649050992442|1649050992442|5|1|-1
LdbcShortQuery2PersonPosts|1649050992447|1649050992448|5|10|-1
LdbcShortQuery3PersonFriends|1649050992453|1649050992454|5|16|-1
LdbcShortQuery4MessageContent|1649050992459|1649050992460|743|1|-1
LdbcShortQuery5MessageCreator|1649050993203|1649050993204|2888|1|-1
LdbcShortQuery6MessageForum|1649050996092|1649050996092|760|1|-1
LdbcShortQuery7MessageReplies|1649050996852|1649050996853|764|9|-1
LdbcQuery11|1649050681764|1649050997617|5|0|1290688475166
LdbcShortQuery1PersonProfile|1649050997622|1649050997623|5|1|-1
LdbcShortQuery2PersonPosts|1649050997628|1649050997629|6|10|-1
LdbcShortQuery3PersonFriends|1649050997635|1649050997635|6|71|-1
LdbcShortQuery4MessageContent|1649050997641|1649050997641|734|1|-1
LdbcShortQuery5MessageCreator|1649050998375|1649050998376|2904|1|-1
LdbcShortQuery6MessageForum|1649051001280|1649051001280|747|1|-1
LdbcShortQuery7MessageReplies|1649051002027|1649051002028|753|0|-1
LdbcShortQuery1PersonProfile|1649051002781|1649051002781|5|1|-1
LdbcShortQuery2PersonPosts|1649051002786|1649051002787|7|10|-1
LdbcShortQuery3PersonFriends|1649051002794|1649051002794|5|4|-1
LdbcQuery6|1649050681768|1649051002800|81|0|1290688479643
LdbcShortQuery4MessageContent|1649051002881|1649051002882|742|1|-1
LdbcShortQuery5MessageCreator|1649051003624|1649051003624|2895|1|-1
LdbcShortQuery6MessageForum|1649051006519|1649051006520|735|1|-1
LdbcShortQuery7MessageReplies|1649051007255|1649051007255|744|0|-1
LdbcShortQuery1PersonProfile|1649051007999|1649051007999|5|1|-1
LdbcShortQuery2PersonPosts|1649051008004|1649051008005|6|10|-1
LdbcShortQuery3PersonFriends|1649051008011|1649051008011|6|128|-1
LdbcShortQuery4MessageContent|1649051008017|1649051008018|728|1|-1
LdbcShortQuery5MessageCreator|1649051008746|1649051008747|2912|1|-1
LdbcShortQuery6MessageForum|1649051011659|1649051011660|761|1|-1
LdbcShortQuery7MessageReplies|1649051012421|1649051012422|772|0|-1
