operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery5|1649050329671|1649050329671|78|0|1290688157299
LdbcQuery13|1649050329671|1649050329750|3|1|1290688157299
LdbcQuery10|1649050329684|1649050329753|3|0|1290688170730
LdbcQuery11|1649050329702|1649050329757|3|0|1290688188638
LdbcQuery3|1649050329725|1649050329760|97|0|1290688211023
LdbcQuery4|1649050329738|1649050329858|3|0|1290688224454
LdbcQuery2|1649050329747|1649050329862|3|0|1290688233408
LdbcQuery13|1649050329756|1649050329865|3|1|1290688242362
LdbcQuery1|1649050329765|1649050329869|4|0|1290688251316
LdbcQuery11|1649050329774|1649050329873|3|0|1290688260270
LdbcQuery7|1649050329805|1649050329877|80|0|1290688291609
LdbcQuery12|1649050329810|1649050329958|266|0|1290688296086
LdbcQuery10|1649050329819|1649050330224|4|0|1290688305040
LdbcQuery8|1649050329819|1649050330229|11|20|1290688305040
LdbcShortQuery4MessageContent|1649050330240|1649050330240|3|1|-1
LdbcShortQuery5MessageCreator|1649050330243|1649050330244|3|1|-1
LdbcShortQuery6MessageForum|1649050330247|1649050330247|3|1|-1
LdbcShortQuery7MessageReplies|1649050330250|1649050330251|3|0|-1
LdbcQuery13|1649050329841|1649050330254|2|1|1290688327425
LdbcShortQuery1PersonProfile|1649050330256|1649050330257|2|1|-1
LdbcShortQuery2PersonPosts|1649050330259|1649050330260|7|10|-1
LdbcShortQuery3PersonFriends|1649050330267|1649050330268|9|497|-1
LdbcShortQuery4MessageContent|1649050330277|1649050330277|3|1|-1
LdbcShortQuery5MessageCreator|1649050330280|1649050330281|3|1|-1
LdbcShortQuery6MessageForum|1649050330284|1649050330284|3|1|-1
LdbcShortQuery7MessageReplies|1649050330287|1649050330287|12|1|-1
LdbcShortQuery1PersonProfile|1649050330299|1649050330300|3|1|-1
LdbcShortQuery2PersonPosts|1649050330303|1649050330303|4|10|-1
LdbcShortQuery3PersonFriends|1649050330307|1649050330307|3|13|-1
LdbcShortQuery4MessageContent|1649050330310|1649050330311|3|1|-1
LdbcShortQuery5MessageCreator|1649050330314|1649050330315|3|1|-1
