operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcUpdate3AddCommentLike|1648753955660|1648753955660|423|0|1290687902110
LdbcQuery1|1648753956556|1648753956556|661|2|1290688798079
LdbcShortQuery1PersonProfile|1648753957217|1648753957218|51|1|-1
LdbcShortQuery2PersonPosts|1648753957269|1648753957269|177|10|-1
LdbcShortQuery3PersonFriends|1648753957446|1648753957447|51|9|-1
LdbcQuery14|1648753956556|1648753957498|467|7|1290688798079
LdbcShortQuery4MessageContent|1648753957965|1648753957965|28|1|-1
LdbcShortQuery5MessageCreator|1648753957993|1648753957994|25|1|-1
LdbcShortQuery6MessageForum|1648753958019|1648753958020|85|1|-1
LdbcShortQuery7MessageReplies|1648753958105|1648753958106|89|0|-1
LdbcShortQuery1PersonProfile|1648753958195|1648753958196|5|1|-1
LdbcShortQuery2PersonPosts|1648753958201|1648753958201|7|10|-1
LdbcShortQuery3PersonFriends|1648753958208|1648753958209|5|2|-1
LdbcShortQuery4MessageContent|1648753958214|1648753958214|4|1|-1
LdbcShortQuery5MessageCreator|1648753958218|1648753958219|4|1|-1
LdbcShortQuery6MessageForum|1648753958223|1648753958224|4|1|-1
LdbcShortQuery7MessageReplies|1648753958228|1648753958228|4|0|-1
LdbcShortQuery1PersonProfile|1648753958232|1648753958232|4|1|-1
LdbcShortQuery2PersonPosts|1648753958236|1648753958237|7|10|-1
LdbcShortQuery3PersonFriends|1648753958244|1648753958244|4|2|-1
LdbcQuery2|1648753956556|1648753958249|91|20|1290688798079
LdbcShortQuery1PersonProfile|1648753958340|1648753958340|4|1|-1
LdbcShortQuery2PersonPosts|1648753958344|1648753958344|6|10|-1
LdbcShortQuery3PersonFriends|1648753958350|1648753958351|5|2|-1
LdbcShortQuery4MessageContent|1648753958356|1648753958357|4|1|-1
LdbcShortQuery5MessageCreator|1648753958361|1648753958362|4|1|-1
LdbcShortQuery6MessageForum|1648753958366|1648753958366|4|1|-1
LdbcShortQuery7MessageReplies|1648753958370|1648753958371|4|0|-1
LdbcQuery4|1648753956556|1648753958376|108|9|1290688798079
LdbcShortQuery4MessageContent|1648753958484|1648753958484|4|1|-1
LdbcShortQuery5MessageCreator|1648753958488|1648753958489|4|1|-1
LdbcShortQuery6MessageForum|1648753958493|1648753958493|4|1|-1
LdbcShortQuery7MessageReplies|1648753958497|1648753958497|5|0|-1
LdbcShortQuery1PersonProfile|1648753958502|1648753958502|4|1|-1
LdbcShortQuery2PersonPosts|1648753958506|1648753958506|5|10|-1
LdbcShortQuery3PersonFriends|1648753958511|1648753958512|4|5|-1
LdbcShortQuery4MessageContent|1648753958516|1648753958517|4|1|-1
LdbcShortQuery5MessageCreator|1648753958521|1648753958521|3|1|-1
LdbcShortQuery6MessageForum|1648753958524|1648753958525|3|1|-1
LdbcShortQuery7MessageReplies|1648753958528|1648753958529|3|0|-1
LdbcQuery8|1648753956556|1648753958532|69|20|1290688798079
LdbcShortQuery1PersonProfile|1648753958601|1648753958601|4|1|-1
LdbcShortQuery2PersonPosts|1648753958605|1648753958606|6|10|-1
LdbcShortQuery3PersonFriends|1648753958612|1648753958612|5|24|-1
LdbcShortQuery4MessageContent|1648753958617|1648753958617|3|1|-1
LdbcShortQuery5MessageCreator|1648753958620|1648753958621|4|1|-1
LdbcShortQuery6MessageForum|1648753958625|1648753958625|3|1|-1
LdbcShortQuery7MessageReplies|1648753958628|1648753958629|3|0|-1
LdbcShortQuery1PersonProfile|1648753958632|1648753958633|4|1|-1
LdbcShortQuery2PersonPosts|1648753958637|1648753958637|4|10|-1
LdbcShortQuery3PersonFriends|1648753958641|1648753958642|5|18|-1
LdbcShortQuery4MessageContent|1648753958647|1648753958647|4|1|-1
LdbcShortQuery5MessageCreator|1648753958651|1648753958652|3|1|-1
LdbcShortQuery6MessageForum|1648753958655|1648753958655|3|1|-1
LdbcShortQuery7MessageReplies|1648753958658|1648753958659|3|0|-1
LdbcQuery9|1648753956556|1648753958663|107|20|1290688798079
LdbcShortQuery4MessageContent|1648753958770|1648753958771|3|1|-1
LdbcShortQuery5MessageCreator|1648753958774|1648753958774|3|1|-1
LdbcShortQuery6MessageForum|1648753958777|1648753958778|3|1|-1
LdbcShortQuery7MessageReplies|1648753958781|1648753958781|3|0|-1
LdbcQuery5|1648753956556|1648753958785|99|20|1290688798079
LdbcShortQuery1PersonProfile|1648753958884|1648753958884|3|1|-1
LdbcShortQuery2PersonPosts|1648753958887|1648753958888|5|10|-1
LdbcShortQuery3PersonFriends|1648753958893|1648753958893|5|33|-1
LdbcQuery10|1648753956556|1648753958899|208|9|1290688798079
LdbcShortQuery4MessageContent|1648753959107|1648753959108|4|1|-1
LdbcShortQuery5MessageCreator|1648753959112|1648753959112|3|1|-1
LdbcShortQuery6MessageForum|1648753959115|1648753959116|3|1|-1
LdbcShortQuery7MessageReplies|1648753959119|1648753959120|3|0|-1
LdbcQuery11|1648753956556|1648753959123|69|2|1290688798079
LdbcShortQuery1PersonProfile|1648753959192|1648753959192|4|1|-1
LdbcShortQuery2PersonPosts|1648753959196|1648753959197|5|10|-1
LdbcShortQuery3PersonFriends|1648753959202|1648753959203|4|33|-1
LdbcQuery3|1648753956556|1648753959207|121|0|1290688798079
LdbcShortQuery4MessageContent|1648753959328|1648753959329|3|1|-1
LdbcShortQuery5MessageCreator|1648753959332|1648753959333|3|1|-1
LdbcShortQuery6MessageForum|1648753959336|1648753959336|3|1|-1
LdbcShortQuery7MessageReplies|1648753959339|1648753959340|3|0|-1
LdbcShortQuery1PersonProfile|1648753959343|1648753959344|3|1|-1
LdbcShortQuery2PersonPosts|1648753959347|1648753959348|4|10|-1
LdbcShortQuery3PersonFriends|1648753959352|1648753959353|5|33|-1
LdbcQuery6|1648753956556|1648753959358|104|10|1290688798079
LdbcShortQuery1PersonProfile|1648753959462|1648753959463|5|1|-1
LdbcShortQuery2PersonPosts|1648753959468|1648753959468|6|10|-1
LdbcShortQuery3PersonFriends|1648753959474|1648753959475|5|33|-1
LdbcQuery12|1648753956556|1648753959481|388|2|1290688798079
LdbcShortQuery4MessageContent|1648753959869|1648753959870|4|1|-1
LdbcShortQuery5MessageCreator|1648753959874|1648753959875|5|1|-1
LdbcShortQuery6MessageForum|1648753959880|1648753959880|5|1|-1
LdbcShortQuery7MessageReplies|1648753959885|1648753959885|7|0|-1
LdbcShortQuery1PersonProfile|1648753959892|1648753959893|3|1|-1
